#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
197.0,Eritrea,9755,1.0,103.0,,9644.0,4.0,8.0,,2681.0,28.0,23693.0,6511.0,3639036.0,373.0,35330.0,154.0,0.3,,2.0
198.0,Niger,9031,,310.0,,8628.0,,93.0,1.0,349.0,12.0,254538.0,9843.0,25859150.0,2863.0,83417.0,102.0,,,4.0
199.0,Vanuatu,8693,34.0,14.0,,8315.0,28.0,364.0,,27108.0,44.0,24976.0,77883.0,320685.0,37.0,22906.0,13.0,106.0,,1135.0
200.0,Guinea-Bissau,8246,,171.0,,8029.0,,46.0,6.0,4011.0,83.0,137803.0,67033.0,2055746.0,249.0,12022.0,15.0,,,22.0
201.0,Comoros,8100,,160.0,,7933.0,,7.0,,8955.0,177.0,,,904547.0,112.0,5653.0,,,,8.0
202.0,Antigua and Barbuda,7982,40.0,138.0,,7651.0,28.0,193.0,1.0,80254.0,1388.0,18901.0,190038.0,99459.0,12.0,721.0,5.0,402.0,,1940.0
203.0,Sierra Leone,7682,,125.0,,,,,,927.0,15.0,259958.0,31384.0,8283025.0,1078.0,66264.0,32.0,,,331.0
204.0,Liberia,7455,,294.0,,5747.0,,1414.0,2.0,1411.0,56.0,139824.0,26472.0,5281930.0,709.0,17966.0,38.0,,,268.0
205.0,Chad,7417,2.0,193.0,,4874.0,,2350.0,,428.0,11.0,191341.0,11051.0,17314897.0,2334.0,89714.0,90.0,0.1,,136.0
206.0,St. Vincent Grenadines,6848,,106.0,,6641.0,,101.0,,61359.0,950.0,99409.0,890722.0,111605.0,16.0,1053.0,1.0,,,905.0
207.0,British Virgin Islands,6690,,62.0,,,,,1.0,218549.0,2025.0,103895.0,3394041.0,30611.0,5.0,494.0,0.0,,,4312.0
208.0,Turks and Caicos,6097,,36.0,,6026.0,,35.0,4.0,153557.0,907.0,512050.0,12896361.0,39705.0,7.0,1103.0,0.0,,,882.0
209.0,Sao Tome and Principe,5982,9.0,73.0,,5900.0,3.0,9.0,,26371.0,322.0,29036.0,128004.0,226837.0,38.0,3107.0,8.0,40.0,,40.0
210.0,Saint Kitts and Nevis,5671,2.0,43.0,,5570.0,,58.0,,105196.0,798.0,70707.0,1311599.0,53909.0,10.0,1254.0,1.0,37.0,,1076.0
211.0,Cook Islands,5543,,1.0,,5433.0,,109.0,,315051.0,57.0,18004.0,1023303.0,17594.0,3.0,17594.0,1.0,,,6195.0
212.0,Palau,4967,,6.0,,4240.0,,721.0,1.0,272060.0,329.0,51089.0,2798324.0,18257.0,4.0,3043.0,0.0,,,39492.0
213.0,St. Barth,4630,19.0,6.0,,,,,,466076.0,604.0,78646.0,7916851.0,9934.0,2.0,1656.0,0.0,1913.0,,418965.0
214.0,Anguilla,3203,87.0,9.0,,3142.0,100.0,52.0,4.0,209950.0,590.0,51382.0,3367986.0,15256.0,5.0,1695.0,0.0,5703.0,,3408.0
215.0,Kiribati,3098,,13.0,,2602.0,,483.0,3.0,25206.0,106.0,,,122907.0,40.0,9454.0,,,,3930.0
216.0,Saint Pierre Miquelon,2748,,1.0,,2449.0,,298.0,1.0,478662.0,174.0,23787.0,4143355.0,5741.0,2.0,5741.0,0.0,,,51907.0
